,striker,runs_1,runs_2,balls_faced_1,balls_faced_2,strike_rate_1,strike_rate_2,total_runs,total_balls,total_strike_rate,bowler,wickets_1,wickets_2,total_wickets
35,AC Thomas,0,20,2,17,0,117.64705882352942,20,19,105.26315789473684,AC Thomas,8,6,14
43,AG Murtaza,2,8,5,9,40,88.88888888888889,10,14,71.42857142857143,AG Murtaza,3,6,9
79,0,0,0,0,0,0,0,0,0,0,Anand Rajan,2,6,8
81,Ankit Sharma,58,29,48,21,120.83333333333333,138.0952380952381,87,69,126.08695652173914,Ankit Sharma,6,6,12
167,DJ Hooda,828,637,621,548,133.33333333333331,116.24087591240877,1466,1170,125.2991452991453,DJ Hooda,4,6,10
245,IS Sodhi,7,0,18,0,38.88888888888889,0,7,18,38.88888888888889,IS Sodhi,3,6,9
252,0,0,0,0,0,0,0,0,0,0,J Little,5,6,11
253,J Suchith,10,60,9,53,111.11111111111111,113.20754716981132,70,62,112.90322580645163,J Suchith,13,6,19
255,J Theron,0,10,2,11,0,90.90909091,10,13,76.92307692307693,J Theron,3,6,11
283,JR Hopes,154,263,125,189,123.2,139.15343915343917,417,314,132.80254777070064,JR Hopes,8,6,14
327,Kamran Khan,0,3,0,5,0,60,3,5,60,Kamran Khan,3,6,10
328,Karanveer Singh,0,12,0,17,0,70.58823529411765,12,17,70.58823529411765,Karanveer Singh,6,6,12
348,LS Livingstone,531,408,362,247,146.68508287292818,165.1821862348178,939,609,154.1871921182266,LS Livingstone,5,6,11
402,0,0,0,0,0,0,0,0,0,0,MP Yadav,1,6,7
453,OC McCoy,8,0,5,0,160,0,8,5,160,OC McCoy,5,6,11
454,OF Smith,26,25,41,9,63.41463414634146,277.77777777777777,51,50,102,OF Smith,0,6,6
488,Pankaj Singh,1,6,2,10,50,60,7,12,58.333333333333336,Pankaj Singh,5,6,11
497,R McLaren,119,40,124,54,95.96774193548387,74.07407407407408,159,178,89.32584269662921,R McLaren,6,6,12
555,S Badree,3,10,3,22,100,45.45454545454545,13,25,52,S Badree,5,6,11
565,S Lamichhane,0,0,0,1,0,0,0,1,0,S Lamichhane,7,6,13
649,Simarjeet Singh,5,2,6,2,83.33333333333334,100,7,8,87.5,Simarjeet Singh,3,6,9
720,YA Abdulla,0,0,1,0,0,0,0,1,0,YA Abdulla,9,6,15
73,Abhishek Sharma,647,730,433,492,149.42263279445726,148.3739837398374,1377,925,148.86486486486484,Abhishek Sharma,6,5,11
100,B Laughlin,1,4,3,10,33.33333333333333,40,5,13,38.46153846153847,B Laughlin,5,5,10
107,BAW Mendis,1,2,1,5,100,40,3,6,50,BAW Mendis,3,5,8
111,BCJ Cutting,145,93,88,58,164.77272727272728,160.3448275862069,238,146,163.0136986,BCJ Cutting,5,5,10
168,DJ Hussey,739,583,635,466,116.37795275590553,125.10729613733906,1322,1101,120.07266121707538,DJ Hussey,3,5,8
182,DP Nannes,0,4,0,13,0,30.76923076923077,4,13,30.76923076923077,DP Nannes,23,5,28
186,DR Sams,15,29,10,38,150,76.31578947368422,44,48,91.66666666666666,DR Sams,9,5,14
240,I Udana,14,1,8,3,175,33.33333333333333,15,11,136.36363636363635,I Udana,3,5,8
254,J Syed Mohammad,0,29,0,27,0,107.40740740740742,29,27,107.40740740740742,J Syed Mohammad,3,5,8
261,JD Ryder,297,307,219,247,135.6164383561644,124.29149797570851,604,466,129.6137339055794,JD Ryder,3,5,8
263,JDP Oram,97,9,102,8,95.09803921568627,112.5,106,110,96.36363636363636,JDP Oram,4,5,9
297,KA Jamieson,29,36,27,28,107.40740740740742,128.57142857142858,65,55,118.18181818181819,KA Jamieson,4,5,9
334,0,0,0,0,0,0,0,0,0,0,L Ngidi,20,5,25
352,M Jansen,42,24,46,25,91.30434782608695,96,66,71,92.95774647887323,M Jansen,15,5,20
369,M de Lange,1,0,2,0,50,0,1,2,50,M de Lange,0,5,5
390,MJ Santner,15,55,18,59,83.33333333333334,93.22033898305084,70,77,90.90909091,MJ Santner,10,5,15
403,MR Marsh,260,405,212,320,122.64150943396226,126.5625,665,532,125,MR Marsh,32,5,37
455,0,0,0,0,0,0,0,0,0,0,P Amarnath,2,5,7
575,S Tyagi,0,3,0,4,0,75,3,4,75,S Tyagi,1,5,6
625,ST Jayasuriya,449,319,348,225,129.02298850574712,141.77777777777777,768,573,134.03141361256544,ST Jayasuriya,8,5,13
645,Shoaib Akhtar,2,0,8,0,25,0,2,8,25,Shoaib Akhtar,0,5,5
655,Swapnil Singh,34,17,32,14,106.25,121.42857142857142,51,46,110.86956521739131,Swapnil Singh,2,5,7
677,TS Mills,0,8,3,11,0,72.72727272727273,8,14,57.14285714285714,TS Mills,6,5,11
691,V Pratap Singh,0,0,1,0,0,0,0,1,0,V Pratap Singh,5,5,10
38,AD Mascarenhas,44,35,47,32,93.61702127659575,109.375,79,79,100,AD Mascarenhas,15,4,19
64,AS Roy,22,4,17,7,129.41176470588235,57.14285714285714,26,24,108.33333333333333,AS Roy,1,4,5
112,BE Hendricks,1,0,3,0,33.33333333333333,0,1,3,33.33333333333333,BE Hendricks,5,4,9
128,C de Grandhomme,133,170,79,150,168.35443037974684,113.33333333333333,303,229,132.31441048034935,C de Grandhomme,2,4,6
201,FH Edwards,4,0,5,0,80,0,4,5,80,FH Edwards,1,4,5
219,Gurkeerat Singh,267,244,219,217,121.91780821917808,112.44239631336406,511,436,117.20183486238531,Gurkeerat Singh,1,4,5
