Name,Team(s),Matches,Runs,Bat Avg,Wickets,Bowl Avg
T Henderson,RRO,2,11,5.5,1,40
A A Noffke,RCB,1,9,9,1,40
L Wood,MIN,2,9,,1,93
C J McKay,MIN,2,8,8,1,60
Vijayakanth Viyaskanth,SUN,3,7,,1,86
S B Joshi,RCB,4,6,3,1,82
R J Gleeson,CSK,2,2,,1,71
R G More,CSK,2,2,,1,59
P M Sarvesh Kumar,DCH,2,1,,1,42
L B Williams,DDV,2,1,,1,72
S Agarwal,GUJ,1,0,,1,42
B Geeves,DDV,2,0,,1,91
Harmeet Singh,RRO,1,0,,1,34
D Jansen,MIN,1,0,,1,53
S S B Magala,CSK,2,0,,1,51
K T Maphaka,MIN,2,0,,1,89
L I Meriwala,DDV,1,0,,1,32
S S Mundhe,PWI,1,0,,1,6
A Nel,MIN,1,0,0,1,31
I C Porel,KXI,1,0,,1,39
Y Prithvi Raj,KKR,2,0,,1,57
G S Sandhu,DDV,3,0,,1,82
S S Sarkar,KKR,2,0,,1,34
M Siddharth,LSG,3,0,,1,71
N B Singh,GUJ,2,0,,1,15
T P C Sudhindra,DCH,3,0,,1,136
D A Warner,"DDV, SUN",184,6565,40.52,0,
M S Dhoni,"CSK, RPS",264,5243,39.13,0,
A B de Villiers,"DDV, RCB",184,5162,39.71,0,
R V Uthappa,"MIN, RCB, PWI, KKR, RRO, CSK",205,4952,27.51,0,
K D Karthik,"DDV, KXI, MIN, RCB, GUJ, KKR",257,4842,26.32,0,
K L Rahul,"RCB, SUN, KXI, LSG",132,4683,45.47,0,
F du Plessis,"CSK, RPS, RCB",145,4571,35.99,0,
S V Samson,"RRO, DDV",168,4419,30.69,0,
A T Rayudu,"MIN, CSK",204,4348,28.23,0,
G Gambhir,"DDV, KKR",154,4217,31.01,0,
M K Pandey,"MIN, RCB, PWI, KKR, SUN, LSG, DDV",171,3850,29.17,0,
S A Yadav,"MIN, KKR",150,3594,32.09,0,
J C Buttler,"MIN, RRO",107,3582,38.11,0,
R R Pant,DDV,111,3284,35.31,0,
Shubman Gill,"KKR, GTI",103,3216,37.84,0,
Q de Kock,"SUN, DDV, RCB, MIN, LSG",107,3157,31.26,0,
S S Iyer,"DDV, KKR",116,3127,32.24,0,
W P Saha,"KKR, CSK, KXI, SUN, GTI",170,2934,24.25,0,
D A Miller,"KXI, RRO, GTI",130,2924,35.66,0,
B B McCullum,"KKR, KTK, CSK, GUJ, RCB",109,2880,27.69,0,
P A Patel,"CSK, KTK, DCH, SUN, RCB, MIN",139,2848,22.6,0,
M A Agarwal,"RCB, DDV, RPS, KXI, SUN",127,2661,22.74,0,
