,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024,wicketsin2021,wicketsin2022,wicketsin2023,wicketsin2024,ballsbowledin2021,ballsbowledin2022,ballsbowledin2023,ballsbowledin2024,givenin2021,givenin2022,givenin2023,givenin2024,totalrunsscored,totalballsfaced,totalwickets,totalballsbowled,totalrunsgiven,batting_strike_rate,oversbowled_clean,economyrate,total_runs_scored,Dismissal_Count,Total_batting_average
44,C Green,0.0,0.0,452.0,255.0,0.0,0.0,287.0,185.0,0.0,0.0,6.0,10.0,0.0,0.0,239.0,223.0,0.0,0.0,397.0,319.0,707.0,472.0,16.0,462.0,716.0,149.79,77.0,9.3,707.0,17.0,41.588235294117645
45,C Sakariya,16.0,0.0,4.0,0.0,25.0,0.0,6.0,0.0,11.0,3.0,3.0,0.0,285.0,71.0,55.0,0.0,400.0,96.0,96.0,0.0,20.0,31.0,17.0,411.0,592.0,64.52,68.3,8.67,20.0,6.0,3.3333333333333335
46,CA Lynn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
47,CH Gayle,153.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,131.0,0.0,0.0,0.0,116.79,0.0,,153.0,9.0,17.0
48,CH Morris,29.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,218.0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,29.0,31.0,12.0,218.0,365.0,93.55,36.2,10.08,29.0,5.0,5.8
49,CJ Jordan,32.0,11.0,6.0,0.0,21.0,9.0,13.0,0.0,4.0,2.0,3.0,0.0,74.0,80.0,140.0,0.0,112.0,140.0,254.0,0.0,49.0,43.0,9.0,294.0,506.0,113.95,49.0,10.33,49.0,5.0,9.8
50,CV Varun,2.0,12.0,1.0,0.0,4.0,18.0,11.0,0.0,17.0,6.0,20.0,21.0,367.0,245.0,323.0,309.0,404.0,355.0,473.0,429.0,15.0,33.0,64.0,1244.0,1661.0,45.45,207.2,8.02,15.0,2.0,7.5
51,D Brevis,0.0,161.0,0.0,69.0,0.0,116.0,0.0,60.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,230.0,176.0,1.0,3.0,8.0,130.68,0.3,26.67,230.0,10.0,23.0
52,D Ferreira,0.0,0.0,0.0,8.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,0.0,0.0,72.73,0.0,,8.0,2.0,4.0
53,D Padikkal,400.0,376.0,261.0,38.0,327.0,317.0,206.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075.0,910.0,0.0,0.0,0.0,118.13,0.0,,1075.0,47.0,22.872340425531913
54,D Pretorius,0.0,44.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,138.0,28.0,0.0,0.0,228.0,34.0,0.0,44.0,28.0,6.0,166.0,262.0,157.14,27.4,9.56,44.0,4.0,11.0
55,D Wiese,0.0,0.0,21.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,11.0,0.0,0.0,0.0,190.91,0.0,,21.0,1.0,21.0
56,DA Miller,62.0,481.0,259.0,210.0,72.0,348.0,184.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,753.0,0.0,0.0,0.0,134.4,0.0,,1012.0,26.0,38.92307692307692
57,DA Warner,138.0,432.0,516.0,168.0,145.0,301.0,406.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1254.0,982.0,0.0,0.0,0.0,127.7,0.0,,1254.0,39.0,32.15384615384615
58,DG Nalkande,0.0,0.0,0.0,12.0,0.0,0.0,1.0,11.0,0.0,2.0,1.0,3.0,0.0,33.0,25.0,31.0,0.0,61.0,47.0,49.0,12.0,12.0,6.0,89.0,157.0,100.0,14.5,10.83,12.0,2.0,6.0
59,DJ Bravo,47.0,23.0,0.0,0.0,22.0,26.0,0.0,0.0,13.0,16.0,0.0,0.0,196.0,229.0,0.0,0.0,256.0,330.0,0.0,0.0,70.0,48.0,29.0,425.0,586.0,145.83,70.5,8.31,70.0,3.0,23.333333333333332
60,DJ Hooda,96.0,451.0,84.0,145.0,97.0,340.0,93.0,107.0,2.0,1.0,0.0,0.0,96.0,24.0,6.0,19.0,136.0,43.0,8.0,23.0,776.0,637.0,3.0,145.0,210.0,121.82,24.1,8.71,776.0,43.0,18.046511627906977
