,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024
256,Saurav Chauhan,0,0,0,18,0,0,0,16
257,Shahbaz Ahmed,44,219,42,215,42,197,41,173
258,Shakib Al Hasan,35,0,0,0,35,0,0,0
259,Shashank Singh,0,69,0,354,0,47,0,225
260,Shivam Mavi,25,3,0,0,21,8,0,0
261,Shivam Singh,0,0,0,2,0,0,0,3
262,Shubman Gill,430,483,890,426,378,374,582,295
263,Sikandar Raza,0,0,139,43,0,0,104,39
264,Simarjeet Singh,0,7,0,0,0,8,0,0
265,Sumit Kumar,0,0,0,18,0,0,0,26
266,Swapnil Singh,0,0,2,37,0,0,4,22
267,T Kohler-Cadmore,0,0,0,48,0,0,0,54
268,T Shamsi,2,0,0,0,4,0,0,0
269,T Stubbs,0,2,25,378,0,4,31,204
270,TA Boult,1,40,16,14,4,30,17,16
271,TG Southee,3,2,0,0,5,12,0,0
272,TH David,1,186,231,241,3,91,155,168
273,TK Curran,0,0,0,0,1,0,0,0
274,TL Seifert,2,24,0,0,5,21,0,0
275,TM Head,0,0,0,567,0,0,0,307
276,TS Mills,0,0,0,0,0,3,0,0
277,TU Deshpande,0,0,0,0,0,0,1,2
278,Tanush Kotian,0,0,0,24,0,0,0,32
279,Tilak Varma,0,397,343,416,0,313,226,291
280,UT Yadav,0,55,19,12,0,41,20,15
281,Umran Malik,0,4,19,0,0,8,8,0
282,V Kohli,339,341,639,741,288,306,473,497
283,V Shankar,44,19,301,83,40,36,199,75
284,V Viyaskanth,0,0,0,7,0,0,0,5
285,VG Arora,0,5,3,1,0,14,2,1
286,VR Iyer,370,182,404,370,299,175,288,238
287,Vijaykumar Vyshak,0,0,13,1,0,0,10,3
288,Virat Singh,15,0,0,0,26,0,0,0
289,Vishnu Vinod,0,0,37,0,0,0,32,0
290,Vivrant Sharma,0,0,69,0,0,0,49,0
291,WD Parnell,0,0,2,0,0,0,6,0
292,WG Jacks,0,0,0,230,0,0,0,133
293,WP Saha,123,317,371,136,129,266,297,120
294,Washington Sundar,13,101,60,0,20,76,62,1
295,YBK Jaiswal,249,258,625,435,168,198,397,288
296,YS Chahal,10,5,0,0,27,8,0,0
297,YV Dhull,0,0,16,0,0,0,23,0
298,Yash Dayal,0,0,0,0,0,1,0,0
299,Yudhvir Singh,0,0,1,21,0,0,2,14
