,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024,bowler,wicketsin2021,wicketsin2022,wicketsin2023,wicketsin2024,ballsbowledin2021,ballsbowledin2022,ballsbowledin2023,ballsbowledin2024,givenin2021,givenin2022,givenin2023,givenin2024
162,Mohammad Nabi,20,0,0,35,9,0,0,31,Mohammad Nabi,0,0,0,2,24,0,0,74,54,0,0,111
163,Mohammed Shami,13,0,5,0,17,0,8,0,Mohammed Shami,15,20,28,0,285,378,403,0,362,522,561,0
164,Mohammed Siraj,20,30,1,12,25,33,2,9,Mohammed Siraj,9,9,19,15,271,325,329,350,331,564,449,545
165,Mohit Rathee,0,0,1,0,0,0,2,0,,,,,,,,,,,,,
166,Mohsin Khan,0,23,0,2,0,19,7,1,Mohsin Khan,0,14,3,10,0,206,64,237,0,219,119,395
167,Mujeeb Ur Rahman,1,0,0,0,1,0,0,0,Mujeeb Ur Rahman,2,0,0,0,26,0,0,0,33,0,0,0
168,Mukesh Choudhary,0,6,0,0,0,6,0,0,Mukesh Choudhary,0,16,0,0,0,291,0,7,0,444,0,28
169,Mukesh Kumar,0,0,7,3,0,0,10,10,Mukesh Kumar,0,0,7,17,0,0,197,223,0,0,341,400
170,Mustafizur Rahman,8,3,1,0,14,5,1,0,Mustafizur Rahman,12,8,1,14,273,199,42,225,400,259,79,349
171,N Jagadeesan,0,40,89,0,0,40,84,0,,,,,,,,,,,,,
172,N Pooran,85,306,358,499,76,228,217,296,,,,,,,,,,,,,
173,N Rana,246,361,413,42,221,259,303,35,N Rana,0,0,3,0,12,12,54,0,12,23,76,0
174,N Wadhera,0,0,241,109,0,0,171,90,,,,,,,,,,,,,
175,NA Saini,2,0,0,0,5,0,0,0,,,,,,,,,,,,,
176,NM Coulter-Nile,4,1,0,0,5,2,0,0,NM Coulter-Nile,7,0,0,0,121,20,0,0,136,52,0,0
177,NT Ellis,18,0,1,0,17,2,7,0,NT Ellis,1,3,13,1,68,40,233,24,94,63,351,24
178,Naman Dhir,0,0,0,140,0,0,0,84,,,,,,,,,,,,,
179,Navdeep Saini,0,2,0,0,0,2,0,0,Navdeep Saini,0,3,3,0,12,39,25,0,27,77,41,0
180,Naveen-ul-Haq,0,0,16,2,0,0,22,4,Naveen-ul-Haq,0,0,11,14,0,0,175,232,0,0,242,391
181,Nithish Kumar Reddy,0,0,0,303,0,0,0,221,Nithish Kumar Reddy,0,0,0,3,0,0,31,87,0,0,55,163
182,Noor Ahmad,0,0,8,5,0,0,9,9,Noor Ahmad,0,0,16,8,0,0,299,214,0,0,397,310
183,OC McCoy,0,8,0,0,0,5,0,0,OC McCoy,0,11,0,0,0,173,7,0,0,265,14,0
184,OF Smith,0,51,0,0,0,50,0,0,OF Smith,0,6,0,0,0,95,0,0,0,185,0,0
185,P Dubey,0,0,16,0,0,0,20,0,P Dubey,0,0,1,0,0,0,19,0,0,0,20,0
186,P Simran Singh,19,14,358,334,23,11,245,216,,,,,,,,,,,,,
187,PBB Rajapaksa,0,206,71,0,0,137,64,0,,,,,,,,,,,,,
188,PD Salt,0,0,218,435,0,0,135,250,,,,,,,,,,,,,
189,PJ Cummins,93,63,0,136,59,24,0,99,PJ Cummins,6,7,0,18,120,127,0,375,194,238,0,586
190,PJ Sangwan,0,2,0,0,0,6,0,0,PJ Sangwan,0,3,0,0,0,56,0,0,0,69,0,0
191,PK Garg,72,46,22,0,75,33,23,0,,,,,,,,,,,,,
192,PN Mankad,0,4,93,0,0,1,74,0,,,,,,,,,,,,,
193,PP Chawla,0,0,25,15,2,0,22,15,PP Chawla,1,0,22,13,24,0,371,215,38,0,508,321
194,PP Shaw,405,283,106,198,265,193,90,125,,,,,,,,,,,,,
195,PVD Chameera,0,43,0,0,0,32,0,0,PVD Chameera,0,9,0,0,0,278,0,19,0,420,0,51
196,PWH de Silva,1,38,33,0,2,48,30,0,PWH de Silva,0,26,9,0,36,346,175,0,60,453,262,0
197,Q de Kock,295,508,143,250,255,350,103,194,,,,,,,,,,,,,
198,R Ashwin,37,191,67,86,38,140,55,76,R Ashwin,6,12,14,9,236,419,309,346,284,527,388,499
199,R Dhawan,0,37,20,0,0,41,12,0,R Dhawan,0,6,1,0,0,119,42,19,0,177,68,44
200,R Parag,66,183,78,573,67,136,68,407,R Parag,0,1,0,0,20,26,0,19,51,61,0,28
201,R Powell,0,250,7,103,0,174,9,71,R Powell,0,0,1,0,0,7,14,0,0,18,20,0
202,R Ravindra,0,0,0,222,0,0,0,146,,,,,,,,,,,,,
203,R Sai Kishore,0,0,0,13,0,0,0,6,R Sai Kishore,0,6,0,7,0,98,0,93,0,125,0,140
204,R Sanjay Yadav,0,0,0,0,0,2,0,0,,,,,,,,,,,,,
205,R Shepherd,0,58,0,57,0,43,1,24,R Shepherd,0,3,0,1,0,57,0,76,0,103,0,170
206,R Tewatia,134,217,87,188,129,156,61,139,R Tewatia,8,0,0,0,199,36,14,0,299,76,16,0
207,RA Bawa,0,11,0,0,0,14,0,0,,,,,,,,,,,,,
208,RA Jadeja,201,116,190,267,153,105,138,191,RA Jadeja,13,5,20,8,288,203,348,285,338,261,444,376
209,RA Tripathi,339,413,273,165,251,271,217,121,,,,,,,,,,,,,
210,RD Chahar,6,77,0,21,8,70,10,15,RD Chahar,9,14,8,10,213,290,301,189,255,386,394,284
211,RD Gaikwad,630,368,590,583,465,298,411,425,,,,,,,,,,,,,
212,RG Sharma,319,268,332,417,260,234,258,293,,,,,,,,,,,,,
213,RJ Gleeson,0,0,0,2,0,0,0,2,RJ Gleeson,0,0,0,1,0,0,0,51,0,0,0,77
214,RJW Topley,0,0,0,3,0,0,0,6,RJW Topley,0,0,1,4,0,0,12,95,0,0,14,173
215,RK Bhui,0,0,0,3,0,0,0,9,,,,,,,,,,,,,
216,RK Singh,0,174,474,168,0,125,333,117,,,,,,,,,,,,,
217,RM Patidar,63,333,0,395,56,232,0,237,,,,,,,,,,,,,
218,RP Meredith,0,0,0,0,0,1,2,0,RP Meredith,3,8,7,0,73,181,126,0,126,267,220,0
219,RR Pant,353,340,0,446,293,234,0,296,,,,,,,,,,,,,
220,RR Rossouw,0,0,209,211,0,0,148,122,,,,,,,,,,,,,
221,RV Patel,25,6,49,0,29,3,44,0,,,,,,,,,,,,,
222,RV Uthappa,115,230,0,0,86,181,0,0,,,,,,,,,,,,,
223,Rahmanullah Gurbaz,0,0,227,62,0,0,178,50,,,,,,,,,,,,,
224,Ramandeep Singh,0,45,0,125,0,42,0,64,Ramandeep Singh,0,6,0,0,0,41,0,4,0,61,0,9
225,Rashid Khan,66,91,130,102,62,44,66,75,Rashid Khan,14,19,27,10,293,386,407,262,366,442,567,377
226,Rasikh Salam,0,7,0,28,0,6,0,30,Rasikh Salam,0,0,0,9,0,24,0,156,0,28,0,282
227,Ravi Bishnoi,1,0,20,4,5,1,28,6,Ravi Bishnoi,12,13,16,10,220,340,312,270,255,484,406,393
228,S Dhawan,493,460,373,152,412,395,275,125,,,,,,,,,,,,,
229,S Dube,205,289,418,396,183,194,277,259,S Dube,0,0,0,1,25,14,0,6,38,46,0,14
230,S Gopal,7,9,0,0,5,7,0,0,S Gopal,0,1,0,3,24,18,0,42,44,34,0,67
231,S Kaul,8,0,0,0,8,0,0,0,S Kaul,7,0,0,0,181,24,0,0,260,43,0,0
232,SA Abbott,0,7,0,0,0,5,0,0,SA Abbott,0,1,0,0,0,27,0,0,0,50,0,0
233,SA Yadav,230,303,605,345,165,210,340,209,,,,,,,,,,,,,
234,SB Dubey,0,0,0,33,0,0,0,21,,,,,,,,,,,,,
235,SD Hope,0,0,0,183,0,0,0,125,,,,,,,,,,,,,
