id,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024,wicketsin2021,wicketsin2022,wicketsin2023,wicketsin2024,ballsbowledin2021,ballsbowledin2022,ballsbowledin2023,ballsbowledin2024,givenin2021,givenin2022,givenin2023,givenin2024,totalrunsscored,totalballsfaced,totalwickets,totalballsbowled,totalrunsgiven,batting_strike_rate,oversbowled_clean,economyrate
156,MR Marsh,0,251,128,61,0,192,97,41,0,4,12,1,0,76,132,54,0,106,185,109,440,330,17,262,400,133.33,43.4,9.22
157,MS Dhoni,114,232,104,161,109,198,63,82,0,0,0,0,0,0,0,0,0,0,0,0,611,452,0,0,0,135.18,0,
158,MS Wade,0,157,0,4,0,145,0,7,0,0,0,0,0,0,0,0,0,0,0,0,161,152,0,0,0,105.92,0,
159,MW Short,0,0,117,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,117,99,0,0,0,118.18,0,
160,Mandeep Singh,15,18,14,0,14,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,47,54,0,0,0,87.04,0,
161,Mayank Dagar,0,0,0,0,0,0,0,1,0,0,1,1,0,0,66,72,0,0,83,129,0,1,2,138,212,0,23,9.22
162,Mohammad Nabi,20,0,0,35,9,0,0,31,0,0,0,2,24,0,0,74,54,0,0,111,55,40,2,98,165,137.5,16.2,10.19
163,Mohammed Shami,13,0,5,0,17,0,8,0,15,20,28,0,285,378,403,0,362,522,561,0,18,25,63,1066,1445,72,177.4,8.15
164,Mohammed Siraj,20,30,1,12,25,33,2,9,9,9,19,15,271,325,329,350,331,564,449,545,63,69,52,1275,1889,91.3,212.3,8.9
165,Mohit Rathee,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,50,0,
166,Mohsin Khan,0,23,0,2,0,19,7,1,0,14,3,10,0,206,64,237,0,219,119,395,25,27,27,507,733,92.59,84.3,8.7
167,Mujeeb Ur Rahman,1,0,0,0,1,0,0,0,2,0,0,0,26,0,0,0,33,0,0,0,1,1,2,26,33,100,4.2,7.86
168,Mukesh Choudhary,0,6,0,0,0,6,0,0,0,16,0,0,0,291,0,7,0,444,0,28,6,6,16,298,472,100,49.4,9.55
169,Mukesh Kumar,0,0,7,3,0,0,10,10,0,0,7,17,0,0,197,223,0,0,341,400,10,20,24,420,741,50,70,10.59
170,Mustafizur Rahman,8,3,1,0,14,5,1,0,12,8,1,14,273,199,42,225,400,259,79,349,12,20,35,739,1087,60,123.1,8.83
171,N Jagadeesan,0,40,89,0,0,40,84,0,0,0,0,0,0,0,0,0,0,0,0,0,129,124,0,0,0,104.03,0,
172,N Pooran,85,306,358,499,76,228,217,296,0,0,0,0,0,0,0,0,0,0,0,0,1248,817,0,0,0,152.75,0,
173,N Rana,246,361,413,42,221,259,303,35,0,0,3,0,12,12,54,0,12,23,76,0,1062,818,3,78,111,129.83,13,8.54
174,N Wadhera,0,0,241,109,0,0,171,90,0,0,0,0,0,0,0,0,0,0,0,0,350,261,0,0,0,134.1,0,
175,NA Saini,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,40,0,
176,NM Coulter-Nile,4,1,0,0,5,2,0,0,7,0,0,0,121,20,0,0,136,52,0,0,5,7,7,141,188,71.43,23.3,8.07
177,NT Ellis,18,0,1,0,17,2,7,0,1,3,13,1,68,40,233,24,94,63,351,24,19,26,18,365,532,73.08,60.5,8.79
178,Naman Dhir,0,0,0,140,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,140,84,0,0,0,166.67,0,
179,Navdeep Saini,0,2,0,0,0,2,0,0,0,3,3,0,12,39,25,0,27,77,41,0,2,2,6,76,145,100,12.4,11.69
180,Naveen-ul-Haq,0,0,16,2,0,0,22,4,0,0,11,14,0,0,175,232,0,0,242,391,18,26,25,407,633,69.23,67.5,9.38
181,Nithish Kumar Reddy,0,0,0,303,0,0,0,221,0,0,0,3,0,0,31,87,0,0,55,163,303,221,3,118,218,137.1,19.4,11.24
182,Noor Ahmad,0,0,8,5,0,0,9,9,0,0,16,8,0,0,299,214,0,0,397,310,13,18,24,513,707,72.22,85.3,8.29
183,OC McCoy,0,8,0,0,0,5,0,0,0,11,0,0,0,173,7,0,0,265,14,0,8,5,11,180,279,160,30,9.3
184,OF Smith,0,51,0,0,0,50,0,0,0,6,0,0,0,95,0,0,0,185,0,0,51,50,6,95,185,102,15.5,11.94
185,P Dubey,0,0,16,0,0,0,20,0,0,0,1,0,0,0,19,0,0,0,20,0,16,20,1,19,20,80,3.1,6.45
186,P Simran Singh,19,14,358,334,23,11,245,216,0,0,0,0,0,0,0,0,0,0,0,0,725,495,0,0,0,146.46,0,
187,PBB Rajapaksa,0,206,71,0,0,137,64,0,0,0,0,0,0,0,0,0,0,0,0,0,277,201,0,0,0,137.81,0,
188,PD Salt,0,0,218,435,0,0,135,250,0,0,0,0,0,0,0,0,0,0,0,0,653,385,0,0,0,169.61,0,
