,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024,totalrunsscored,totalballsfaced,batting_strike_rate,batting_strike_rate_2021,batting_strike_rate_2022,batting_strike_rate_2023,batting_strike_rate_2024
220,RR Rossouw,0,0,209,211,0,0,148,122,420,270,155.56,0,0,141.22,172.95
221,RV Patel,25,6,49,0,29,3,44,0,80,76,105.26,86.21,200,111.36,0
222,RV Uthappa,115,230,0,0,86,181,0,0,345,267,129.21,133.72,127.07,0,0
223,Rahmanullah Gurbaz,0,0,227,62,0,0,178,50,289,228,126.75,0,0,127.53,124
224,Ramandeep Singh,0,45,0,125,0,42,0,64,170,106,160.38,0,107.14,0,195.31
225,Rashid Khan,66,91,130,102,62,44,66,75,389,247,157.49,106.45,206.82,196.97,136
226,Rasikh Salam,0,7,0,28,0,6,0,30,35,36,97.22,0,116.67,0,93.33
227,Ravi Bishnoi,1,0,20,4,5,1,28,6,25,40,62.5,20,0,71.43,66.67
228,S Dhawan,493,460,373,152,412,395,275,125,1478,1207,122.45,119.66,116.46,135.64,121.6
229,S Dube,205,289,418,396,183,194,277,259,1308,913,143.26,112.02,148.97,150.9,152.9
230,S Gopal,7,9,0,0,5,7,0,0,16,12,133.33,140,128.57,0,0
231,S Kaul,8,0,0,0,8,0,0,0,8,8,100,100,0,0,0
232,SA Abbott,0,7,0,0,0,5,0,0,7,5,140,0,140,0,0
233,SA Yadav,230,303,605,345,165,210,340,209,1483,924,160.5,139.39,144.29,177.94,165.07
234,SB Dubey,0,0,0,33,0,0,0,21,33,21,157.14,0,0,0,157.14
235,SD Hope,0,0,0,183,0,0,0,125,183,125,146.4,0,0,0,146.4
236,SE Rutherford,0,33,0,0,0,52,0,0,33,52,63.46,0,63.46,0,0
237,SH Johnson,0,0,0,6,0,0,0,7,6,7,85.71,0,0,0,85.71
238,SK Raina,98,0,0,0,87,0,0,0,98,87,112.64,112.64,0,0,0
239,SM Curran,17,0,276,270,10,0,213,230,563,453,124.28,170,0,129.58,117.39
240,SN Khan,0,91,53,0,4,69,62,0,144,135,106.67,0,131.88,85.48,0
241,SN Thakur,5,120,113,21,6,90,72,18,259,186,139.25,83.33,133.33,156.94,116.67
242,SO Hetmyer,242,314,299,113,153,221,205,72,968,651,148.69,158.17,142.08,145.85,156.94
243,SP Jackson,0,23,0,0,0,26,0,0,23,26,88.46,0,88.46,0,0
244,SP Narine,62,71,21,488,51,40,28,292,642,411,156.2,121.57,177.5,75,167.12
245,SPD Smith,152,0,0,0,136,0,0,0,152,136,111.76,111.76,0,0,0
246,SS Iyer,175,401,0,351,181,310,0,250,927,741,125.1,96.69,129.35,0,140.4
247,SS Prabhudessai,0,67,35,24,0,62,32,19,126,113,111.5,0,108.06,109.38,126.32
248,SS Tiwary,115,0,0,0,99,0,0,0,115,99,116.16,116.16,0,0,0
249,SV Samson,361,458,362,531,303,321,240,367,1712,1231,139.07,119.14,142.68,150.83,144.69
250,SW Billings,0,169,0,0,0,143,0,0,169,143,118.18,0,118.18,0,0
251,SZ Mulani,0,0,0,1,0,0,0,1,1,1,100,0,0,0,100
252,Sachin Baby,7,0,0,0,17,0,0,0,7,17,41.18,41.18,0,0,0
253,Sameer Rizvi,0,0,0,51,0,0,0,43,51,43,118.6,0,0,0,118.6
254,Sandeep Sharma,8,0,2,0,7,0,7,0,10,14,71.43,114.29,0,28.57,0
255,Sanvir Singh,0,0,11,14,0,0,9,13,25,22,113.64,0,0,122.22,107.69
256,Saurav Chauhan,0,0,0,18,0,0,0,16,18,16,112.5,0,0,0,112.5
257,Shahbaz Ahmed,44,219,42,215,42,197,41,173,520,453,114.79,104.76,111.17,102.44,124.28
258,Shakib Al Hasan,35,0,0,0,35,0,0,0,35,35,100,100,0,0,0
259,Shashank Singh,0,69,0,354,0,47,0,225,423,272,155.51,0,146.81,0,157.33
260,Shivam Mavi,25,3,0,0,21,8,0,0,28,29,96.55,119.05,37.5,0,0
261,Shivam Singh,0,0,0,2,0,0,0,3,2,3,66.67,0,0,0,66.67
262,Shubman Gill,430,483,890,426,378,374,582,295,2229,1629,136.83,113.76,129.14,152.92,144.41
263,Sikandar Raza,0,0,139,43,0,0,104,39,182,143,127.27,0,0,133.65,110.26
264,Simarjeet Singh,0,7,0,0,0,8,0,0,7,8,87.5,0,87.5,0,0
265,Sumit Kumar,0,0,0,18,0,0,0,26,18,26,69.23,0,0,0,69.23
266,Swapnil Singh,0,0,2,37,0,0,4,22,39,26,150,0,0,50,168.18
267,T Kohler-Cadmore,0,0,0,48,0,0,0,54,48,54,88.89,0,0,0,88.89
268,T Shamsi,2,0,0,0,4,0,0,0,2,4,50,50,0,0,0
269,T Stubbs,0,2,25,378,0,4,31,204,405,239,169.46,0,50,80.65,185.29
270,TA Boult,1,40,16,14,4,30,17,16,71,67,105.97,25,133.33,94.12,87.5
271,TG Southee,3,2,0,0,5,12,0,0,5,17,29.41,60,16.67,0,0
272,TH David,1,186,231,241,3,91,155,168,659,417,158.03,33.33,204.4,149.03,143.45
273,TK Curran,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
274,TL Seifert,2,24,0,0,5,21,0,0,26,26,100,40,114.29,0,0
275,TM Head,0,0,0,567,0,0,0,307,567,307,184.69,0,0,0,184.69
276,TS Mills,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0
277,TU Deshpande,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0
278,Tanush Kotian,0,0,0,24,0,0,0,32,24,32,75,0,0,0,75
279,Tilak Varma,0,397,343,416,0,313,226,291,1156,830,139.28,0,126.84,151.77,142.96
280,UT Yadav,0,55,19,12,0,41,20,15,86,76,113.16,0,134.15,95,80
281,Umran Malik,0,4,19,0,0,8,8,0,23,16,143.75,0,50,237.5,0
282,V Kohli,339,341,639,741,288,306,473,497,2060,1564,131.71,117.71,111.44,135.1,149.09
283,V Shankar,44,19,301,83,40,36,199,75,447,350,127.71,110,52.78,151.26,110.67
284,V Viyaskanth,0,0,0,7,0,0,0,5,7,5,140,0,0,0,140
285,VG Arora,0,5,3,1,0,14,2,1,9,17,52.94,0,35.71,150,100
286,VR Iyer,370,182,404,370,299,175,288,238,1326,1000,132.6,123.75,104,140.28,155.46
287,Vijaykumar Vyshak,0,0,13,1,0,0,10,3,14,13,107.69,0,0,130,33.33
288,Virat Singh,15,0,0,0,26,0,0,0,15,26,57.69,57.69,0,0,0
289,Vishnu Vinod,0,0,37,0,0,0,32,0,37,32,115.62,0,0,115.62,0
290,Vivrant Sharma,0,0,69,0,0,0,49,0,69,49,140.82,0,0,140.82,0
291,WD Parnell,0,0,2,0,0,0,6,0,2,6,33.33,0,0,33.33,0
292,WG Jacks,0,0,0,230,0,0,0,133,230,133,172.93,0,0,0,172.93
293,WP Saha,123,317,371,136,129,266,297,120,947,812,116.63,95.35,119.17,124.92,113.33
294,Washington Sundar,13,101,60,0,20,76,62,1,174,159,109.43,65,132.89,96.77,0
295,YBK Jaiswal,249,258,625,435,168,198,397,288,1567,1051,149.1,148.21,130.3,157.43,151.04
296,YS Chahal,10,5,0,0,27,8,0,0,15,35,42.86,37.04,62.5,0,0
297,YV Dhull,0,0,16,0,0,0,23,0,16,23,69.57,0,0,69.57,0
298,Yash Dayal,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
299,Yudhvir Singh,0,0,1,21,0,0,2,14,22,16,137.5,0,0,50,150
