,striker,totalrunsscored,Total_batting_average,batting_strike_rate,totalballsfaced,totalwickets,economyrate,oversbowled_clean
231,S Gopal,16,16,133.33,12,4,10.36,14
232,S Kaul,8,,100,8,7,8.89,34.1
233,S Nadeem,,,,,,,
234,SA Abbott,7,7,140,5,1,11.63,4.3
235,SA Yadav,1483,32.955555555555556,160.5,924,0,,0
236,SB Dubey,33,16.5,157.14,21,0,,0
237,SD Hope,183,22.875,146.4,125,0,,0
238,SE Rutherford,33,16.5,63.46,52,0,,0
239,SH Johnson,6,,85.71,7,4,9.94,16.3
240,SK Raina,98,10.88888888888889,112.64,87,0,,0
241,SM Curran,563,24.47826086956522,124.28,453,35,10.21,125
242,SN Khan,144,16,106.67,135,0,,0
243,SN Thakur,259,13.631578947368421,139.25,186,46,9.49,168
244,SO Hetmyer,968,35.851851851851855,148.69,651,0,,0
245,SP Jackson,23,5.75,88.46,26,0,,0
246,SP Narine,642,17.35135135135135,156.2,411,53,6.89,219.2
247,SPD Smith,152,25.333333333333332,111.76,136,0,,0
248,SS Iyer,927,34.333333333333336,125.1,741,0,,0
249,SS Prabhudessai,126,12.6,111.5,113,0,,0
250,SS Tiwary,115,57.5,116.16,99,0,,0
251,SV Samson,1712,33.568627450980394,139.07,1231,0,,0
252,SW Billings,169,24.142857142857142,118.18,143,0,,0
253,SZ Mulani,1,,100,1,0,,0
254,Sachin Baby,7,7,41.18,17,0,,0
255,Sameer Rizvi,51,12.75,118.6,43,0,,0
256,Sandeep Sharma,10,10,71.43,14,28,8.33,129.5
257,Sanvir Singh,25,12.5,113.64,22,0,,0
258,Saurav Chauhan,18,6,112.5,16,0,,0
259,Shahbaz Ahmed,520,18.571428571428573,114.79,453,16,9.82,82.2
260,Shakib Al Hasan,35,7,100,35,2,7.4,18.1
261,Shashank Singh,423,35.25,155.51,272,1,8.39,3.1
262,Shivam Mavi,28,7,96.55,29,16,8.76,57.4
263,Shivam Singh,2,,66.67,3,0,,0
264,Shubman Gill,2229,39.10526315789474,136.83,1629,0,,0
265,Sikandar Raza,182,26,127.27,143,3,11.04,14.4
266,Simarjeet Singh,7,7,87.5,8,9,8.97,32.1
267,Sumit Kumar,18,9,69.23,26,0,,0
268,Swapnil Singh,39,19.5,150,26,6,8.9,17.2
269,T Kohler-Cadmore,48,16,88.89,54,0,,0
270,T Shamsi,2,,50,4,0,,0
271,T Stubbs,405,36.81818181818182,169.46,239,4,7.32,4.1
272,TA Boult,71,14.2,105.97,67,55,8.3,203.4
273,TG Southee,5,1,29.41,17,19,8.71,55
274,TH David,659,28.652173913043477,158.03,417,0,,0
275,TK Curran,0,0,0,1,3,7.75,4
276,TL Seifert,26,8.666666666666666,100,26,0,,0
277,TM Head,567,40.5,184.69,307,0,,0
278,TS Mills,0,0,0,3,6,11.43,17.5
279,TU Deshpande,0,,0,3,39,9.69,120.1
280,Tanush Kotian,24,24,75,32,0,,0
281,Tilak Varma,1156,39.86206896551724,139.28,830,0,,0
282,UT Yadav,86,12.285714285714286,113.16,76,25,8.71,90.2
283,Umran Malik,23,11.5,143.75,16,29,9.71,86.3
284,V Kohli,2060,38.867924528301884,131.71,1564,0,,0
285,V Shankar,447,20.318181818181817,127.71,350,3,8.79,12.4
286,V Viyaskanth,7,,140,5,1,9.4,10
287,VG Arora,9,4.5,52.94,17,19,9.31,69.4
288,VR Iyer,1326,31.571428571428573,132.6,1000,3,10.71,14
289,Vijaykumar Vyshak,14,7,107.69,13,13,10.15,40.3
290,Virat Singh,15,7.5,57.69,26,0,,0
291,Vishnu Vinod,37,12.333333333333334,115.62,32,0,,0
292,Vivrant Sharma,69,69,140.82,49,0,,0
293,WD Parnell,2,2,33.33,6,9,9.35,26.1
294,WG Jacks,230,32.857142857142854,172.93,133,2,11.21,9.1
295,WP Saha,947,21.522727272727273,116.63,812,0,,0
296,Washington Sundar,174,10.875,109.43,159,12,8.77,64.1
297,YBK Jaiswal,1567,33.340425531914896,149.1,1051,0,,0
298,YS Chahal,15,15,42.86,35,84,8.2,231.5
299,YV Dhull,16,5.333333333333333,69.57,23,0,,0
300,Yash Dayal,0,0,0,1,28,9.66,102.3
301,Yudhvir Singh,22,5.5,137.5,16,4,10.98,12.2
