player,seasons
Navdeep Saini,['2021' '2022' '2023']
Naveen-ul-Haq,['2023' '2024']
Niraj Patel,['2007/08' '2009']
Nithish Kumar Reddy,['2023' '2024']
Noor Ahmad,['2023' '2024']
O Thomas,['2019']
OA Shah,['2009/10' '2011' '2012' '2013']
OC McCoy,['2022' '2023']
OF Smith,['2022']
P Amarnath,['2007/08']
P Awana,['2012' '2013' '2014']
P Chopra,['2018']
P Dogra,['2009/10' '2012' '2013']
P Dubey,['2020/21' '2023']
P Kumar,"['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016'
 '2017']"
P Negi,['2012' '2013' '2014' '2015' '2016' '2017' '2019' '2018']
P Parameswaran,['2011' '2012']
P Prasanth,['2011']
P Ray Barman,['2019']
P Sahu,['2016']
P Simran Singh,['2019' '2020/21' '2021' '2022' '2023' '2024']
P Suyal,['2013' '2014' '2015']
PA Patel,"['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016'
 '2017' '2019' '2018']"
PA Reddy,['2012' '2013']
PBB Rajapaksa,['2022' '2023']
PC Valthaty,['2009' '2011' '2012' '2013']
PD Collingwood,['2009/10']
PD Salt,['2023' '2024']
PH Solanki,['2022']
PJ Cummins,['2014' '2015' '2017' '2020/21' '2021' '2022' '2024']
PJ Sangwan,['2007/08' '2009' '2009/10' '2012' '2013' '2016' '2017' '2018' '2022']
PK Garg,['2020/21' '2021' '2022' '2023']
PM Sarvesh Kumar,['2007/08']
PN Mankad,['2022' '2023']
PP Chawla,"['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016'
 '2017' '2019' '2018' '2020/21' '2021' '2023' '2024']"
PP Ojha,['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2015']
PP Shaw,['2019' '2018' '2020/21' '2021' '2022' '2023' '2024']
PR Shah,['2007/08' '2009' '2011']
PSP Handscomb,['2016']
PV Tambe,['2013' '2014' '2015' '2016']
PVD Chameera,['2022' '2024']
PWH de Silva,['2021' '2022' '2023']
Pankaj Singh,['2007/08' '2009' '2009/10' '2011' '2012']
Parvez Rasool,['2013' '2014' '2015' '2016']
Q de Kock,"['2013' '2014' '2015' '2016' '2019' '2018' '2020/21' '2021' '2022' '2023'
 '2024']"
R Ashwin,"['2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016' '2019' '2018'
 '2020/21' '2021' '2022' '2023' '2024']"
R Bhatia,"['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016'
 '2017']"
R Bishnoi,['2009']
R Dhawan,['2013' '2014' '2015' '2016' '2022' '2023' '2024']
R Dravid,['2007/08' '2009' '2009/10' '2011' '2012' '2013']
R Goyal,['2023']
R McLaren,['2009/10' '2011' '2013']
R Ninan,['2011']
R Parag,['2019' '2020/21' '2021' '2022' '2023' '2024']
R Powell,['2022' '2023' '2024']
R Rampaul,['2013' '2014']
R Ravindra,['2024']
R Sai Kishore,['2022' '2024']
R Sanjay Yadav,['2022']
R Sathish,['2009/10' '2011' '2013' '2016']
R Sharma,['2009/10' '2011' '2012' '2013' '2014']
R Shepherd,['2022' '2023' '2024']
R Shukla,['2012' '2013' '2014']
R Tewatia,['2014' '2015' '2017' '2019' '2018' '2020/21' '2021' '2022' '2023' '2024']
R Vinay Kumar,"['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016'
 '2017' '2018']"
RA Bawa,['2022']
RA Jadeja,"['2007/08' '2009' '2011' '2012' '2013' '2014' '2015' '2016' '2017' '2019'
 '2018' '2020/21' '2021' '2022' '2023' '2024']"
RA Shaikh,['2009']
RA Tripathi,['2017' '2019' '2018' '2020/21' '2021' '2022' '2023' '2024']
RD Chahar,['2017' '2019' '2020/21' '2021' '2022' '2023' '2024']
RD Gaikwad,['2020/21' '2021' '2022' '2023' '2024']
RE Levi,['2012']
RE van der Merwe,['2009' '2009/10' '2011' '2012' '2013']
RG More,['2015']
RG Sharma,"['2007/08' '2009' '2009/10' '2011' '2012' '2013' '2014' '2015' '2016'
 '2017' '2019' '2018' '2020/21' '2021' '2022' '2023' '2024']"
RJ Gleeson,['2024']
RJ Harris,['2009' '2009/10' '2011' '2012' '2013']
RJ Peterson,['2012']
RJ Quiney,['2009']
RJW Topley,['2023' '2024']
RK Bhui,['2019' '2018' '2024']
RK Singh,['2018' '2019' '2020/21' '2022' '2023' '2024']
RM Patidar,['2021' '2022' '2024']
RN ten Doeschate,['2011' '2012' '2013' '2014' '2015']
