,striker,runs_in_1_2021,runs_in_1_2022,runs_in_1_2023,runs_in_1_2024,runs_in_2_2021,runs_in_2_2022,runs_in_2_2023,runs_in_2_2024
264,Simarjeet Singh,,5.0,,,,2.0,,
265,Sumit Kumar,,,,2.0,,,,16.0
266,Swapnil Singh,,,,22.0,,,2.0,15.0
267,T Kohler-Cadmore,,,,18.0,,,,30.0
268,T Shamsi,,,,,2.0,,,
269,T Stubbs,,,25.0,181.0,,2.0,,197.0
270,TA Boult,1.0,40.0,15.0,12.0,0.0,,1.0,2.0
271,TG Southee,,1.0,,,3.0,1.0,,
272,TH David,1.0,56.0,71.0,114.0,,130.0,160.0,127.0
273,TK Curran,0.0,,,,,,,
274,TL Seifert,2.0,,,,,24.0,,
275,TM Head,,,,433.0,,,,134.0
276,TS Mills,,,,,,0.0,,
277,TU Deshpande,,,0.0,0.0,,,,
278,Tanush Kotian,,,,,,,,24.0
279,Tilak Varma,,132.0,169.0,144.0,,265.0,174.0,272.0
280,UT Yadav,,19.0,9.0,,,36.0,10.0,12.0
281,Umran Malik,,0.0,,,,4.0,19.0,
282,V Kohli,190.0,173.0,376.0,470.0,149.0,168.0,263.0,271.0
283,V Shankar,,15.0,92.0,24.0,44.0,4.0,209.0,59.0
284,V Viyaskanth,,,,7.0,,,,
285,VG Arora,,5.0,2.0,1.0,,,1.0,
286,VR Iyer,123.0,72.0,213.0,191.0,247.0,110.0,191.0,179.0
287,Vijaykumar Vyshak,,,0.0,0.0,,,13.0,1.0
288,Virat Singh,,,,,15.0,,,
289,Vishnu Vinod,,,30.0,,,,7.0,
290,Vivrant Sharma,,,69.0,,,,,
291,WD Parnell,,,,,,,2.0,
292,WG Jacks,,,,67.0,,,,163.0
293,WP Saha,72.0,82.0,225.0,38.0,51.0,235.0,146.0,98.0
294,Washington Sundar,6.0,37.0,25.0,0.0,7.0,64.0,35.0,
295,YBK Jaiswal,172.0,110.0,374.0,81.0,77.0,148.0,251.0,354.0
296,YS Chahal,2.0,,,,8.0,5.0,,
297,YV Dhull,,,2.0,,,,14.0,
298,Yash Dayal,,0.0,,,,,,
299,Yudhvir Singh,,,1.0,,,,,21.0
