,player,batting_avg_2021_innings_1,batting_avg_2021_innings_2,batting_avg_2022_innings_1,batting_avg_2022_innings_2,batting_avg_2023_innings_1,batting_avg_2023_innings_2,batting_avg_2024_innings_1,batting_avg_2024_innings_2,dismissals_2021_innings_1,dismissals_2021_innings_2,dismissals_2022_innings_1,dismissals_2022_innings_2,dismissals_2023_innings_1,dismissals_2023_innings_2,dismissals_2024_innings_1,dismissals_2024_innings_2,runs_scored_2021_innings_1,runs_scored_2021_innings_2,runs_scored_2022_innings_1,runs_scored_2022_innings_2,runs_scored_2023_innings_1,runs_scored_2023_innings_2,runs_scored_2024_innings_1,runs_scored_2024_innings_2,strike_rate_2021_innings_1,strike_rate_2021_innings_2,strike_rate_2022_innings_1,strike_rate_2022_innings_2,strike_rate_2023_innings_1,strike_rate_2023_innings_2,strike_rate_2024_innings_1,strike_rate_2024_innings_2
91,J Suchith,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,14,0,2,0,0,0,0,0.0,233.33,0.0,28.57,0.0,0.0,0.0,0.0
92,J Yadav,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,130.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,JA Richardson,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0,0,0,0,0,0,1,15,0,0,0,0,0,0,2,65.22,0.0,0.0,0.0,0.0,0.0,0.0,100.0
94,JC Archer,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0.0,150.0,50.0,0.0,0.0
95,JC Buttler,57.67,27.0,55.92,64.0,47.57,8.43,12.75,61.6,3,2,12,3,7,7,4,5,173,54,671,192,333,59,51,308,157.27,125.58,136.66,182.86,147.35,81.94,83.61,150.24
96,JD Unadkat,0.0,15.0,32.0,9.0,0.0,9.0,7.5,9.0,0,2,0,3,0,1,2,1,0,30,32,27,0,9,15,9,0.0,120.0,139.13,192.86,0.0,128.57,107.14,69.23
97,JDS Neesham,0.0,0.0,14.0,17.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0,0,0,14,17,0,0,0,0,0.0,0.0,116.67,113.33,0.0,0.0,0.0,0.0
98,JE Root,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0
99,JJ Bumrah,9.0,6.0,0.0,0.0,0.0,0.0,10.0,2.0,0,1,0,2,0,0,0,0,9,6,0,0,0,0,10,2,150.0,75.0,0.0,0.0,0.0,0.0,100.0,100.0
100,JJ Roy,18.67,47.0,0.0,0.0,32.25,39.0,0.0,0.0,3,2,0,0,4,4,0,0,56,94,0,0,129,156,0,0,94.92,142.42,0.0,0.0,129.0,162.5,0.0,0.0
101,JM Bairstow,7.0,58.0,24.14,21.0,0.0,0.0,11.5,34.38,1,3,7,4,0,0,2,8,7,174,169,84,0,0,23,275,116.67,146.22,148.25,127.27,0.0,0.0,92.0,159.88
102,JM Sharma,0.0,0.0,33.8,21.67,27.62,17.6,33.67,10.75,0,0,5,3,8,5,3,8,0,0,169,65,221,88,101,86,0.0,0.0,167.33,135.42,149.32,154.39,138.36,116.22
103,JO Holder,8.25,48.0,16.0,6.5,5.5,1.0,0.0,0.0,4,1,2,4,2,0,0,0,33,48,32,26,11,1,0,0,91.67,150.0,188.24,89.66,100.0,100.0,0.0,0.0
104,JP Behrendorff,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0
105,JR Hazlewood,0.0,0.0,4.0,14.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4,14,1,0,0,0,0.0,0.0,30.77,100.0,50.0,0.0,0.0,0.0
106,K Gowtham,0.0,0.0,0.0,0.0,9.5,21.0,0.0,0.0,0,0,0,1,2,2,0,0,0,0,0,0,19,42,0,0,0.0,0.0,0.0,0.0,190.0,123.53,0.0,0.0
107,K Kartikeya,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,3,0,6,0,0,0.0,0.0,0.0,50.0,0.0,85.71,0.0,0.0
108,K Rabada,0.0,4.0,13.33,4.0,0.0,0.0,1.0,19.0,0,0,3,2,0,1,0,1,0,4,40,8,0,0,1,19,0.0,400.0,105.26,88.89,0.0,0.0,100.0,118.75
109,K Yadav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
