,striker,U_n_n,m_a_t,s_e_a,s_t_a,v_e_n,i_n_n,b_a_l,b_a_t,b_o_w,s_t_r,n_o_n,b_o_w,r_u_n,e_x_t,w_i_d,n_o_b,b_y_e,l_e_g,p_e_n,w_i_c,p_l_a,o_t_h,o_t_h,t_o_t,y_e_a
96,96,JC Buttler,1.5727272727272728,1.255813953488372,1.3665987780040734,1.8285714285714283,1.4734513274336285,0.8194444444444444,0.8360655737704918,1.502439024390244,173.0,54.0,671.0,192.0,333.0,59.0,51.0,308.0,157.27272727272728,125.5813953488372,136.65987780040734,182.8571428571429,147.34513274336285,81.94444444444444,83.60655737704919,150.2439024390244
97,97,JD Unadkat,,1.2,1.391304347826087,1.9285714285714288,,1.2857142857142858,1.0714285714285714,0.6923076923076923,,30.0,32.0,27.0,,9.0,15.0,9.0,,120.0,139.1304347826087,192.8571428571429,,128.57142857142858,107.14285714285714,69.23076923076923
98,98,JDS Neesham,0.0,0.0,1.1666666666666667,1.1333333333333333,,,,,0.0,0.0,14.0,17.0,,,,,0.0,0.0,116.66666666666669,113.33333333333331,,,,
99,99,JE Root,,,,,,0.6666666666666666,,,,,,,,10.0,,,,,,,,66.66666666666666,,
100,100,JJ Bumrah,1.5,0.75,,0.0,,,1.0,1.0,9.0,6.0,,0.0,,,10.0,2.0,150.0,75.0,,0.0,,,100.0,100.0
101,101,JJ Roy,0.9491525423728814,1.4242424242424243,,,1.29,1.625,,,56.0,94.0,,,129.0,156.0,,,94.91525423728814,142.42424242424244,,,129.0,162.5,,
102,102,JM Bairstow,1.1666666666666667,1.4621848739495795,1.4824561403508771,1.2727272727272727,,,0.92,1.5988372093023255,7.0,174.0,169.0,84.0,,,23.0,275.0,116.66666666666669,146.21848739495798,148.24561403508773,127.27272727272728,,,92.0,159.88372093023256
103,103,JM Sharma,,,1.6732673267326732,1.3541666666666667,1.4932432432432432,1.543859649122807,1.3835616438356164,1.162162162162162,,,169.0,65.0,221.0,88.0,101.0,86.0,,,167.32673267326732,135.41666666666669,149.32432432432432,154.38596491228068,138.35616438356163,116.2162162162162
104,104,JO Holder,0.9166666666666666,1.5,1.8823529411764703,0.896551724137931,1.0,1.0,,,33.0,48.0,32.0,26.0,11.0,1.0,,,91.66666666666666,150.0,188.23529411764704,89.65517241379311,100.0,100.0,,
105,105,JP Behrendorff,,,,,,0.6666666666666666,,,,,,,,6.0,,,,,,,,66.66666666666666,,
106,106,JR Hazlewood,,,0.3076923076923077,1.0,0.5,,,,,,4.0,14.0,1.0,,,,,,30.76923076923077,100.0,50.0,,,
107,107,K Gowtham,,,,0.0,1.9,1.2352941176470589,,,,,,0.0,19.0,42.0,,,,,,0.0,190.0,123.52941176470588,,
108,108,K Kartikeya,,,,0.5,,0.8571428571428571,,,,,,3.0,,6.0,,,,,,50.0,,85.71428571428571,,
109,109,K Rabada,0.0,4.0,1.0526315789473684,0.8888888888888888,,0.0,1.0,1.1875,0.0,4.0,40.0,8.0,,0.0,1.0,19.0,0.0,400.0,105.26315789473684,88.88888888888889,,0.0,100.0,118.75
110,110,K Yadav,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
